timestamp nodeid seqnumber itemperature ivoltage humidity temperature PAR TSR
1163707611968 8 22 20,79 3 50,64 23,26 2 2
1163707612921 13 21 21,72 2,99 52,84 22,2 2 3
1163707620453 6 22 18,32 3 53,92 22,97 2 1
1163707627125 14 21 17,9 2,66 56,19 21,92 2 3
1163707641750 15 21 19,66 3 55,22 22,04 99 118
1163707648500 16 21 22,55 2,62 52,84 21,97 99 120
1163707665156 18 21 22,55 3 48,74 25,22 7 9
1163707666718 17 21 23,68 3 46,12 25,48 1 1
1163707682078 19 21 22,55 3 47,43 24,94 123 160
1163707685250 20 21 24,2 3 49,5 25,15 147 147
1163707747453 3 22 19,25 3 57,09 23,06 19 24
1163707780187 2 22 22,86 2,99 56,85 22,71 9 11
1163707791359 1 22 16,77 3 59,5 22,46 6 8
1163707801578 7 23 17,9 3 52,93 23,12 3 3
1163707876796 12 22 24,51 2,63 49,87 23,71 1 0
1163707881656 10 22 21,72 2,65 50,83 24 2 1
1163707888375 9 22 22,44 2,65 51,32 23,33 1 1
1163707890515 5 23 24,92 2,96 50,32 22,76 10 9
1163707904015 11 22 22,44 2,62 49,13 23,7 1 0
1163707912000 8 23 20,48 3 50 23,26 2 2
1163707912937 13 22 21,72 2,99 52,12 22,02 3 2
1163707920484 6 23 18,42 3 53,44 22,9 2 2
1163707927156 14 22 17,9 2,66 55,56 21,84 2 2
1163707941781 15 22 18,42 3 57,52 20,4 106 135
1163707948531 16 22 21,62 2,62 53,94 20,95 82 103
1163707965187 18 22 22,55 3 48,31 25,18 4 6
1163707966750 17 22 23,47 3 46,21 25,41 1 1
1163707982109 19 22 22,55 2,99 47,5 24,96 124 151
1163707985265 20 22 24,2 3 49,11 25,12 114 113
1163708047468 3 23 19,25 3 57,15 23,05 13 16
1163708080218 2 23 22,86 2,98 56,97 22,69 7 8
1163708091390 1 23 16,67 3 59,46 22,43 7 8
1163708101593 7 24 17,59 3 52,9 22,88 3 3
1163708176828 12 23 24,61 2,63 49,9 23,7 1 1
1163708181687 10 23 22,03 2,65 50,93 24 1 1
1163708188421 9 23 22,44 2,65 51,43 23,25 1 0
1163708190546 5 24 24,61 2,96 50,21 22,66 9 8
1163708204031 11 23 22,44 2,62 49,32 23,68 1 1
1163708212031 8 24 20,48 3 49,83 23,21 1 1
